time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/06/10/18:44:21.290600,234648,1623343461,312748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.335933,234649,1623343461,362748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.383856,234650,1623343461,412748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.441058,234651,1623343461,462748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.484016,234652,1623343461,512748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.535884,234653,1623343461,562748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.590021,234654,1623343461,612748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.639616,234655,1623343461,662748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.697413,234656,1623343461,712748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.740574,234657,1623343461,762748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.800011,234658,1623343461,812748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.838546,234659,1623343461,862748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.886824,234660,1623343461,912748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.941437,234661,1623343461,962748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:21.974438,234662,1623343462,12748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:22.038335,234663,1623343462,62748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:22.079756,234664,1623343462,112748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
2021/06/10/18:44:22.139541,234665,1623343462,162748004,base_link,"['wheel_FL_joint', 'wheel_RL_joint', 'wheel_FR_joint', 'wheel_RR_joint']","(347.3276672363281, 343.5365905761719, 314.2808532714844, 308.88751220703125)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)"
