time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2021/06/10/18:44:21.104435,44,1623343459,895505261,world,-0.0919533446431,0.00163941085339,0.231580525637,0.00119099183939,0.00738282129169,-0.00465018488467,-0.999961197376
2021/06/10/18:44:21.104558,45,1623343459,915518553,world,-0.0919399112463,0.00164077803493,0.231586366892,0.0012020264985,0.00738196447492,-0.00467113684863,-0.999961197376
2021/06/10/18:44:21.104734,46,1623343459,935491803,world,-0.0919483453035,0.00163082405925,0.231591850519,0.00125184294302,0.00737629365176,-0.004643634893,-0.999961256981
2021/06/10/18:44:21.105389,47,1623343459,955467761,world,-0.0919482260942,0.00163014605641,0.231584683061,0.00120560615323,0.00734133133665,-0.00464849872515,-0.999961614609
2021/06/10/18:44:21.108812,48,1623343459,975514303,world,-0.0919527709484,0.00163448601961,0.231594622135,0.0012061506277,0.00738375261426,-0.004666055087,-0.999961137772
2021/06/10/18:44:21.109023,49,1623343460,5506595,world,-0.0919545292854,0.00162597373128,0.231586799026,0.00124491704628,0.00734317256138,-0.00464913994074,-0.999961555004
2021/06/10/18:44:21.109332,50,1623343460,15574636,world,-0.0919866934419,0.0015689060092,0.231591433287,0.00137826474383,0.0072662695311,-0.00465243170038,-0.999961912632
2021/06/10/18:44:21.119202,51,1623343460,35576220,world,-0.0919395983219,0.00163673609495,0.231576427817,0.00120426528156,0.00736864795908,-0.00467211939394,-0.999961197376
2021/06/10/18:44:21.119710,52,1623343460,55773220,world,-0.09200514853,0.00156229361892,0.231581151485,0.00140498310793,0.00725915981457,-0.0045931590721,-0.999962151051
2021/06/10/18:44:21.119858,53,1623343460,75699428,world,-0.0919503122568,0.00161710381508,0.231593042612,0.00125417124946,0.00737344706431,-0.00465558608994,-0.999961256981
2021/06/10/18:44:21.123580,54,1623343460,95603970,world,-0.092003904283,0.00155841931701,0.231581136584,0.00140869314782,0.00722673116252,-0.00456977635622,-0.999962449074
2021/06/10/18:44:21.124442,55,1623343460,125528678,world,-0.0919411480427,0.00162770971656,0.231584444642,0.00119605078362,0.00738087575883,-0.00465571274981,-0.999961256981
2021/06/10/18:44:21.130541,56,1623343460,135650011,world,-0.0919484049082,0.00162528455257,0.231593266129,0.00122562318575,0.00733731733635,-0.004674019292,-0.999961435795
2021/06/10/18:44:21.131479,57,1623343460,155556595,world,-0.091952085495,0.00163244083524,0.231575727463,0.00124686898198,0.00733242742717,-0.0046678413637,-0.999961435795
2021/06/10/18:44:21.132041,58,1623343460,175619095,world,-0.09198448807,0.0015578456223,0.231585592031,0.00142449710984,0.00725660519674,-0.00461434246972,-0.999962031841
2021/06/10/18:44:21.132596,59,1623343460,195651220,world,-0.0919734686613,0.00156877934933,0.231591314077,0.00138984678779,0.00725394440815,-0.00462159141898,-0.999962091446
2021/06/10/18:44:21.137061,60,1623343460,215513345,world,-0.0919797196984,0.00156213343143,0.231588378549,0.00139958097134,0.00725357746705,-0.00456067966297,-0.999962329865
2021/06/10/18:44:21.137184,61,1623343460,235584011,world,-0.0919912606478,0.00155205279589,0.231602609158,0.00144646631088,0.00727752875537,-0.00458775879815,-0.999962031841
2021/06/10/18:44:21.138320,62,1623343460,255660803,world,-0.092003531754,0.00156383216381,0.231583103538,0.00137334235478,0.00721979979426,-0.00460442202166,-0.999962449074
2021/06/10/18:44:21.140070,63,1623343460,276609803,world,-0.0919437408447,0.0016211643815,0.231577157974,0.00125216669403,0.00734626455233,-0.0046483874321,-0.999961495399
2021/06/10/18:44:21.142203,64,1623343460,295520386,world,-0.0919840335846,0.00156538933516,0.231588304043,0.00137680012267,0.00725824991241,-0.00457286229357,-0.99996227026
2021/06/10/18:44:21.142818,65,1623343460,315484220,world,-0.0919896513224,0.00155679136515,0.231590569019,0.00138319656253,0.00726019358262,-0.00460343295708,-0.999962091446
2021/06/10/18:44:21.146267,66,1623343460,335518553,world,-0.0919353142381,0.00163796171546,0.231564253569,0.00121290097013,0.00737393135205,-0.00465396186337,-0.999961256981
2021/06/10/18:44:21.146625,67,1623343460,355792428,world,-0.0919888317585,0.00156753882766,0.231584087014,0.00136551202741,0.00725462893024,-0.0045856628567,-0.999962210655
2021/06/10/18:44:21.146863,68,1623343460,385658095,world,-0.091929897666,0.00164222717285,0.231593519449,0.00117093045264,0.00739577179775,-0.00467137573287,-0.999961078167
2021/06/10/18:44:21.147190,69,1623343460,395573886,world,-0.0919441580772,0.00162632763386,0.231574743986,0.00123277225066,0.00736663630232,-0.00463455170393,-0.999961435795
2021/06/10/18:44:21.147376,70,1623343460,415459136,world,-0.0919403582811,0.00163318216801,0.23157992959,0.00117887672968,0.00737551227212,-0.00468567339703,-0.999961197376
2021/06/10/18:44:21.150939,71,1623343460,435609928,world,-0.0919879749417,0.00156402587891,0.231589436531,0.00139660108835,0.00728836795315,-0.00456895912066,-0.999962031841
2021/06/10/18:44:21.151784,72,1623343460,455638511,world,-0.0919932126999,0.00157672539353,0.231580913067,0.00136923405807,0.00727319810539,-0.00461157085374,-0.999961972237
2021/06/10/18:44:21.156751,73,1623343460,485483053,world,-0.0919666439295,0.00155363231897,0.231576815248,0.00139757769648,0.00733630964532,-0.00460093235597,-0.999961614609
2021/06/10/18:44:21.157895,74,1623343460,495675886,world,-0.0919354408979,0.00163308903575,0.231569603086,0.00123167736456,0.0073957121931,-0.00464998418465,-0.999961078167
2021/06/10/18:44:21.166233,75,1623343460,515739303,world,-0.0919464528561,0.00162271037698,0.231577828526,0.001251224312,0.00736379018053,-0.00463099777699,-0.999961435795
2021/06/10/18:44:21.174309,76,1623343460,535565011,world,-0.0919459611177,0.0016366392374,0.231588244438,0.00122448685579,0.0073758084327,-0.00465918472037,-0.999961197376
2021/06/10/18:44:21.174395,77,1623343460,555541970,world,-0.0919409543276,0.00163747742772,0.231584310532,0.00118877901696,0.00740571133792,-0.00466382037848,-0.999961078167
2021/06/10/18:44:21.177387,78,1623343460,585587345,world,-0.0919422209263,0.00163590162992,0.231577396393,0.00119735847693,0.00740142539144,-0.00465913303196,-0.999961078167
2021/06/10/18:44:21.179028,79,1623343460,595555261,world,-0.0919468998909,0.00164005160332,0.231576085091,0.0012304065749,0.00738886231557,-0.00465224031359,-0.999961137772
2021/06/10/18:44:21.182042,80,1623343460,615484095,world,-0.0919480472803,0.00162843987346,0.231590762734,0.00121164589655,0.00739310542122,-0.00464006746188,-0.999961197376
2021/06/10/18:44:21.186298,81,1623343460,635471595,world,-0.091920748353,0.00162035599351,0.23158608377,0.00125554692931,0.0074436548166,-0.00470177736133,-0.999960541725
2021/06/10/18:44:21.186618,82,1623343460,655576470,world,-0.0919514298439,0.0016323029995,0.231580212712,0.00124271539971,0.00736844679341,-0.0046468754299,-0.99996137619
2021/06/10/18:44:21.190069,83,1623343460,685544136,world,-0.0919644907117,0.00163527950644,0.231579139829,0.00122902088333,0.0073726051487,-0.00464874645695,-0.999961256981
2021/06/10/18:44:21.190861,84,1623343460,696039678,world,-0.091949082911,0.00163647532463,0.231574207544,0.0011731616687,0.00737917702645,-0.00465077301487,-0.999961316586
2021/06/10/18:44:21.191485,85,1623343460,715478636,world,-0.0919447988272,0.00163550302386,0.231591120362,0.001209290931,0.00738842366263,-0.00464288238436,-0.999961256981
2021/06/10/18:44:21.194638,86,1623343460,735609845,world,-0.0919445604086,0.00163885951042,0.231578737497,0.00123026908841,0.0073841996491,-0.00464365817606,-0.999961197376
