time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2021/06/10/18:44:54.194962,0.146153846154,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:54.331469,0.138461538462,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:54.383492,0.146153846154,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:54.438313,0.146153846154,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:54.497960,0.146153846154,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:54.555534,0.142307692308,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:54.611735,0.142307692308,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:54.686699,0.15,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:54.816611,0.15,0.0,0.0,0.0,0.0,0.269491525424
2021/06/10/18:44:54.936776,0.146153846154,0.0,0.0,0.0,0.0,0.269491525424
2021/06/10/18:44:55.064543,0.142307692308,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:55.124660,0.138461538462,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:55.179855,0.138461538462,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:55.237103,0.146153846154,0.0,0.0,0.0,0.0,0.279661016949
2021/06/10/18:44:55.300581,0.134615384615,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:55.363763,0.134615384615,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:55.451812,0.134615384615,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:55.512608,0.134615384615,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:55.578012,0.134615384615,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:55.650883,0.15,0.0,0.0,0.0,0.0,0.259322033898
2021/06/10/18:44:55.712483,0.146153846154,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:55.850716,0.146153846154,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:55.981854,0.142307692308,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:56.042777,0.15,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:56.127246,0.146153846154,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:56.252924,0.146153846154,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:56.376239,0.142307692308,0.0,0.0,0.0,0.0,0.289830508475
2021/06/10/18:44:56.499734,0.15,0.0,0.0,0.0,0.0,0.289830508475
